date,amount,description,category,vendor
2024-07-01,-4200.00,Monthly rent payment,Rent,Landlord LLC
2024-07-01,-9800.00,Semi-monthly payroll,Payroll,ADP Payroll
2024-07-02,-620.00,Produce order,Inventory,Fresh Farms
2024-07-02,-380.00,Meat and poultry order,Inventory,Valley Meats
2024-07-02,-210.00,Dairy delivery,Inventory,Dairy Direct
2024-07-03,3240.00,Daily sales - dine in,Income,POS System
2024-07-03,1180.00,Daily sales - takeout,Income,POS System
2024-07-03,-155.00,Kitchen cleaning supplies,Supplies,CleanPro
2024-07-04,4520.00,Daily sales - holiday weekend,Income,POS System
2024-07-04,-85.00,Paper goods and napkins,Supplies,Restaurant Depot
2024-07-05,2860.00,Daily sales - dine in,Income,POS System
2024-07-05,-340.00,Weekly pest control,Maintenance,BugFree Inc
2024-07-06,3180.00,Daily sales - dine in,Income,POS System
2024-07-06,980.00,Daily sales - takeout,Income,POS System
2024-07-07,2640.00,Daily sales - Sunday brunch,Income,POS System
2024-07-07,-175.00,Table linens laundry,Supplies,City Laundry
2024-07-08,-580.00,Produce order,Inventory,Fresh Farms
2024-07-08,-420.00,Seafood delivery,Inventory,Ocean Fresh
2024-07-08,-890.00,Electric bill,Utilities,City Power Co
2024-07-09,2980.00,Daily sales - dine in,Income,POS System
2024-07-09,-250.00,Marketing - social media ads,Marketing,Meta Ads
2024-07-10,2720.00,Daily sales - dine in,Income,POS System
2024-07-10,-135.00,POS software subscription,Subscriptions,Toast POS
2024-07-11,3100.00,Daily sales - dine in,Income,POS System
2024-07-11,1420.00,Daily sales - takeout,Income,POS System
2024-07-12,3640.00,Daily sales - Friday dinner,Income,POS System
2024-07-12,-95.00,Accounting software,Subscriptions,QuickBooks
2024-07-13,4120.00,Daily sales - Saturday,Income,POS System
2024-07-13,-1200.00,Wine and spirits order,Inventory,Wine Warehouse
2024-07-14,2350.00,Daily sales - Sunday,Income,POS System
2024-07-15,-9800.00,Semi-monthly payroll,Payroll,ADP Payroll
2024-07-15,-650.00,Produce order,Inventory,Fresh Farms
2024-07-15,-395.00,Meat and poultry order,Inventory,Valley Meats
2024-07-16,2890.00,Daily sales - dine in,Income,POS System
2024-07-16,-320.00,Gas bill,Utilities,SoCalGas
2024-07-17,2650.00,Daily sales - dine in,Income,POS System
2024-07-17,-750.00,Equipment repair - walk-in cooler,Equipment,HVAC Experts
2024-07-18,3200.00,Daily sales - dine in,Income,POS System
2024-07-18,-180.00,Staff uniforms,Supplies,Uniform World
2024-07-19,3580.00,Daily sales - Friday dinner,Income,POS System
2024-07-20,4280.00,Daily sales - Saturday,Income,POS System
2024-07-20,-280.00,Catering delivery supplies,Inventory,Restaurant Depot
2024-07-21,2100.00,Daily sales - Sunday,Income,POS System
2024-07-22,-560.00,Produce order,Inventory,Fresh Farms
2024-07-22,-350.00,Meat order,Inventory,Valley Meats
2024-07-23,2750.00,Daily sales - dine in,Income,POS System
2024-07-23,-1850.00,Liability insurance premium,Insurance,State Farm
2024-07-24,2680.00,Daily sales - dine in,Income,POS System
2024-07-24,-220.00,Menu redesign and printing,Marketing,PrintShop Pro
2024-07-25,3050.00,Daily sales - dine in,Income,POS System
2024-07-26,3520.00,Daily sales - Friday dinner,Income,POS System
2024-07-27,4350.00,Daily sales - Saturday,Income,POS System
2024-07-28,2200.00,Daily sales - Sunday brunch,Income,POS System
2024-07-29,-590.00,Produce order,Inventory,Fresh Farms
2024-07-29,-410.00,Meat order,Inventory,Valley Meats
2024-07-30,2850.00,Daily sales - dine in,Income,POS System
2024-07-30,-125.00,Water and sewer bill,Utilities,City Water
2024-07-31,2920.00,Daily sales - dine in,Income,POS System
2024-08-01,-4200.00,Monthly rent payment,Rent,Landlord LLC
2024-08-01,-10100.00,Semi-monthly payroll,Payroll,ADP Payroll
2024-08-02,-680.00,Produce order,Inventory,Fresh Farms
2024-08-02,-410.00,Meat and poultry order,Inventory,Valley Meats
2024-08-02,-195.00,Dairy delivery,Inventory,Dairy Direct
2024-08-03,3380.00,Daily sales - dine in,Income,POS System
2024-08-03,1250.00,Daily sales - takeout,Income,POS System
2024-08-04,3050.00,Daily sales - Sunday,Income,POS System
2024-08-05,-540.00,Grease trap cleaning,Maintenance,CleanPro
2024-08-05,2680.00,Daily sales - dine in,Income,POS System
2024-08-06,2950.00,Daily sales - dine in,Income,POS System
2024-08-06,-300.00,Google ads - local,Marketing,Google Ads
2024-08-07,2780.00,Daily sales - dine in,Income,POS System
2024-08-07,-480.00,Seafood delivery,Inventory,Ocean Fresh
2024-08-08,3150.00,Daily sales - dine in,Income,POS System
2024-08-08,-135.00,POS software subscription,Subscriptions,Toast POS
2024-08-09,3720.00,Daily sales - Friday dinner,Income,POS System
2024-08-10,4480.00,Daily sales - Saturday,Income,POS System
2024-08-10,-1350.00,Wine and spirits order,Inventory,Wine Warehouse
2024-08-11,2450.00,Daily sales - Sunday brunch,Income,POS System
2024-08-12,-610.00,Produce order,Inventory,Fresh Farms
2024-08-12,-380.00,Meat order,Inventory,Valley Meats
2024-08-13,2790.00,Daily sales - dine in,Income,POS System
2024-08-14,2650.00,Daily sales - dine in,Income,POS System
2024-08-14,-920.00,Electric bill,Utilities,City Power Co
